,current_params,proposed_params,current_log_likelihood,proposed_log_likelihood,step_forward_log_probs,step_backward_log_probs,current_log_posterior,proposed_log_posterior,alpha,accepted
5875,"[0.10043129705281953, 0.39394447673601146, 84208060743139.45]","[0.10038942420587832, 0.39953343235377436, 84734684134828.42]",-212.98079600259055,-213.10274056425777,-21.491112709181188,-21.455388411986526,-212.98079600259055,-213.10274056425777,0.9173921400683561,True
5876,"[0.10038942420587832, 0.39953343235377436, 84734684134828.42]","[0.09846241105148547, 0.3942704072075252, 84817977697332.39]",-213.10274056425777,-215.21311346020352,-21.308727275749852,-21.36915724781964,-213.10274056425777,-215.21311346020352,0.11408598414356036,False
5877,"[0.10038942420587832, 0.39953343235377436, 84734684134828.42]","[0.09687053385632671, 0.3773213441932798, 85099358244791.88]",-213.10274056425777,-217.47360923871835,-23.78180761229624,-23.768332527206894,-213.10274056425777,-217.47360923871835,0.012811736816856632,False
5878,"[0.10038942420587832, 0.39953343235377436, 84734684134828.42]","[0.10198037470404651, 0.39623207807666755, 85754089569893.25]",-213.10274056425777,-212.25685695372997,-21.78055584482724,-21.74970836155181,-213.10274056425777,-212.25685695372997,2.4030315685358765,True
5879,"[0.10198037470404651, 0.39623207807666755, 85754089569893.25]","[0.09320791900444819, 0.3897260540230576, 85312582329870.48]",-212.25685695372997,-231.63229795829972,-21.78685917778823,-21.958854403956728,-212.25685695372997,-231.63229795829972,3.2408304419555072e-09,False
5880,"[0.10198037470404651, 0.39623207807666755, 85754089569893.25]","[0.10148252490035879, 0.38143306102637303, 86967526253802.33]",-212.25685695372997,-212.01688638417426,-23.003148258991686,-23.019181092176254,-212.25685695372997,-212.01688638417426,1.250993125631733,True
5881,"[0.10148252490035879, 0.38143306102637303, 86967526253802.33]","[0.0844876996101251, 0.39221455909540176, 86697695024750.19]",-212.01688638417426,-316.15278292737025,-23.255570256238613,-23.241301126023686,-212.01688638417426,-316.15278292737025,6.0332561985126255e-46,False
5882,"[0.10148252490035879, 0.38143306102637303, 86967526253802.33]","[0.09745271140144937, 0.386029108628255, 87644151185248.17]",-212.01688638417426,-216.06702651287972,-21.573502215844186,-21.61481803266086,-212.01688638417426,-216.06702651287972,0.016714879879553977,False
5883,"[0.10148252490035879, 0.38143306102637303, 86967526253802.33]","[0.10231076250461435, 0.38197581426397526, 86635196592757.17]",-212.01688638417426,-212.0759215484795,-21.244340784453797,-21.232642625284026,-212.01688638417426,-212.0759215484795,0.953765919410636,True
5884,"[0.10231076250461435, 0.38197581426397526, 86635196592757.17]","[0.098512863065488, 0.3695451694466985, 88142672817299.81]",-212.0759215484795,-213.55708240017077,-23.111673396873467,-23.207477316277163,-212.0759215484795,-213.55708240017077,0.20660122952191556,False
5885,"[0.10231076250461435, 0.38197581426397526, 86635196592757.17]","[0.10523490267412196, 0.39028439281599336, 88885558889697.05]",-212.0759215484795,-214.06169511723925,-24.124950481663685,-24.072305083669455,-212.0759215484795,-214.06169511723925,0.1446948595629152,False
5886,"[0.10231076250461435, 0.38197581426397526, 86635196592757.17]","[0.1182158802683042, 0.36466771158312283, 86126459618618.94]",-212.0759215484795,-245.22953016411176,-24.092583463089166,-24.05806420051678,-212.0759215484795,-245.22953016411176,4.135825897274881e-15,False
5887,"[0.10231076250461435, 0.38197581426397526, 86635196592757.17]","[0.11920367657261645, 0.38973012037543725, 86973056319859.62]",-212.0759215484795,-246.17461830218835,-22.995715064161285,-22.94108538870323,-212.0759215484795,-246.17461830218835,1.6400214428511917e-15,False
5888,"[0.10231076250461435, 0.38197581426397526, 86635196592757.17]","[0.10611109064382385, 0.38535450545524713, 85958719872576.03]",-212.0759215484795,-214.9695158374779,-21.57302432315799,-21.499879614165778,-212.0759215484795,-214.9695158374779,0.05957915109178645,False
5889,"[0.10231076250461435, 0.38197581426397526, 86635196592757.17]","[0.10539141260661082, 0.3769305293685286, 86549391424461.11]",-212.0759215484795,-214.28788508758709,-21.37235028542869,-21.34116375896031,-212.0759215484795,-214.28788508758709,0.11295373005788588,True
5890,"[0.10539141260661082, 0.3769305293685286, 86549391424461.11]","[0.11298567213855093, 0.3646428654817121, 87395923931607.52]",-214.28788508758709,-230.44299218338386,-22.627447835224306,-22.533056196886832,-214.28788508758709,-230.44299218338386,1.0590583809748149e-07,False
5891,"[0.10539141260661082, 0.3769305293685286, 86549391424461.11]","[0.11422256459066413, 0.3696733610418817, 86451440659994.38]",-214.28788508758709,-233.11806091268267,-21.87921949198739,-21.794330535080807,-214.28788508758709,-233.11806091268267,7.2281199570817e-09,False
5892,"[0.10539141260661082, 0.3769305293685286, 86549391424461.11]","[0.13098819331205924, 0.3573661175364739, 85379166545535.83]",-214.28788508758709,-288.0444458699747,-26.829061441005425,-27.32979067276645,-214.28788508758709,-288.0444458699747,5.6294855119025856e-33,False
5893,"[0.10539141260661082, 0.3769305293685286, 86549391424461.11]","[0.10089007996100903, 0.3576157939132927, 86522857842809.67]",-214.28788508758709,-211.804704976871,-23.1179709107999,-23.174435479824425,-214.28788508758709,-211.804704976871,11.321635506272195,True
5894,"[0.10089007996100903, 0.3576157939132927, 86522857842809.67]","[0.0876680174726569, 0.3686282756846224, 86075687780563.38]",-211.804704976871,-270.666476763219,-22.71647298740875,-22.80744408336547,-211.804704976871,-270.666476763219,2.4954511525951422e-26,False
5895,"[0.10089007996100903, 0.3576157939132927, 86522857842809.67]","[0.10363688731070181, 0.36508210977241456, 84778532439768.02]",-211.804704976871,-212.66725338630724,-23.059609952201598,-22.972966131733774,-211.804704976871,-212.66725338630724,0.4602872218767635,False
5896,"[0.10089007996100903, 0.3576157939132927, 86522857842809.67]","[0.08713152353841092, 0.3584414317984016, 86153031542183.53]",-211.804704976871,-274.78303310436206,-22.144209251569023,-22.256198879416296,-211.804704976871,-274.78303310436206,3.9831176766670053e-28,False
5897,"[0.10089007996100903, 0.3576157939132927, 86522857842809.67]","[0.10517302853236819, 0.3680469421259243, 86736090162082.8]",-211.804704976871,-214.21019311855102,-21.89676959064697,-21.777139880982418,-211.804704976871,-214.21019311855102,0.10168673348123348,False
